Country,Province,City,Pop.,ABBR,Rent,Total COL,Sal,QOL,Prov. ABBR,Lat,Long
Germany,Bavaria,Fürth,"124,200",DE,896,1679,3746,77,BY,49.4885711,10.9587203
Germany,North Rhine-Westphalia,Gelsenkirchen,"260,400",DE,726,1506,2335,91,NW,51.5110321,7.0960124
Germany,Lower Saxony,Göttingen,"119,000",DE,800,1578,2816,73,NI,51.5328328,9.9351811
Germany,North Rhine-Westphalia,Hagen,"189,000",DE,763,1567,3102,78,NW,51.3582945,7.473296
Germany,Saxony-Anhalt,Halle,"237,000",DE,596,1388,3303,92,ST,51.4824354,11.9712985
Germany,Hamburg,Hamburg,"1,747,400",DE,1127,2172,3668,95,HH,53.550341,10.000654
Germany,North Rhine-Westphalia,Hamm,"179,400",DE,754,1515,2146,73,NW,50.0165178,6.4184628
Germany,Lower Saxony,Hanover,"532,200",DE,891,1828,2914,93,NI,52.3744779,9.7385532
Germany,Baden-Württemberg,Heidelberg,"156,300",DE,1121,1991,3986,91,BW,49.4093582,8.694724
Germany,Baden-Württemberg,Heilbronn,"122,600",DE,1124,1909,2780,74,BW,49.142291,9.218655
Germany,North Rhine-Westphalia,Herne,"155,900",DE,844,1631,2191,89,NW,51.5380394,7.219985
Germany,Lower Saxony,Hildesheim,"101,700",DE,841,1619,2101,74,NI,52.1527188,9.9518083
Germany,Bavaria,Ingolstadt,"132,400",DE,907,1659,3399,75,BY,48.7630165,11.4250395
Germany,Thuringia,Jena,"109,500",DE,657,1320,3670,76,TH,50.9281717,11.5879359
Germany,Baden-Württemberg,Karlsruhe,"307,800",DE,981,1891,3046,89,BW,49.0068705,8.4034195
Germany,Hesse,Kassel,"198,000",DE,715,1509,2761,86,HE,51.3157833,9.4978479
Germany,Schleswig-Holstein,Kiel,"246,300",DE,866,1678,2775,86,SH,54.3227085,10.135555
Germany,Rhineland-Palatinate,Koblenz,"112,600",DE,822,1583,3498,76,RP,50.3533278,7.5943951
Germany,North Rhine-Westphalia,Krefeld,"225,100",DE,796,1626,2717,78,NW,51.3331205,6.5623343
Germany,Saxony,Leipzig,"560,500",DE,856,1690,3010,92,SN,51.3406321,12.3747329
Germany,North Rhine-Westphalia,Leverkusen,"163,500",DE,1240,2037,4167,82,NW,51.0324743,6.9881194
Germany,Schleswig-Holstein,Lübeck,"216,300",DE,934,1743,3206,75,SH,53.866444,10.684738
Germany,Rhineland-Palatinate,Ludwigshafen,"164,700",DE,1107,1890,3675,76,RP,49.4704113,8.4381568
Germany,Saxony-Anhalt,Magdeburg,"235,700",DE,606,1411,2929,73,ST,52.1314783,11.6400789
Germany,Rhineland-Palatinate,Mainz,"209,800",DE,907,1736,3334,79,RP,49.9995205,8.2736253
Germany,Baden-Württemberg,Mannheim,"305,800",DE,1002,1825,4964,94,BW,49.4892913,8.4673098
Germany,North Rhine-Westphalia,Moers,"104,500",DE,741,1525,2913,78,NW,51.451283,6.62843
Germany,North Rhine-Westphalia,Mönchengladbach,"260,000",DE,843,1651,3057,79,NW,51.1947131,6.4353792
Germany,North Rhine-Westphalia,Mülheim,"169,300",DE,760,1543,2836,79,NW,51.4272925,6.8829192
Germany,Bavaria,Munich,"1,450,400",DE,1467,2463,3954,94,BY,48.1371079,11.5753822
Germany,North Rhine-Westphalia,Münster,"310,000",DE,1064,1887,3381,89,NW,51.9625101,7.6251879
Germany,North Rhine-Westphalia,Neuss,"155,400",DE,879,1650,2654,92,NW,51.1981778,6.6916476
Germany,Bavaria,Nuremberg,"510,000",DE,898,1767,3627,92,BY,49.453872,11.077298
Germany,North Rhine-Westphalia,Oberhausen,"211,000",DE,797,1605,2531,78,NW,51.4696137,6.8514435
Germany,Hesse,Offenbach am Main,"211,000",DE,924,1730,2885,77,HE,50.1055002,8.7610698
Germany,Lower Saxony,Oldenburg,"163,800",DE,949,1727,3179,88,NI,53.1389753,8.2146017
Germany,Lower Saxony,Osnabrück,"162,400",DE,702,1432,2605,74,NI,52.2719595,8.047635
Germany,North Rhine-Westphalia,Paderborn,"148,100",DE,810,1589,2694,73,NW,51.7177044,8.752653
Germany,Baden-Württemberg,Pforzheim,"122,200",DE,791,1565,3118,77,BW,48.890934,8.7025509
Germany,Brandenburg,Potsdam,"167,700",DE,1071,1902,3440,79,BB,52.4009309,13.0591397
Germany,North Rhine-Westphalia,Recklinghausen,"114,300",DE,710,1535,2901,76,NW,51.6143815,7.1978546
Germany,Bavaria,Regensburg,"145,500",DE,902,1720,3448,88,BY,49.0195333,12.0974869
Germany,North Rhine-Westphalia,Remscheid,"109,500",DE,831,1608,2878,79,NW,51.1798706,7.1943544
Germany,Baden-Württemberg,Reutlingen,"114,310",DE,1008,1876,3479,91,BW,48.4919508,9.2114144
Germany,Mecklenburg-Vorpommern,Rostock,"206,000",DE,685,1481,2603,84,MV,54.0886707,12.1400211
Germany,Saarland,Saarbrücken,"178,200",DE,701,1479,3157,87,SL,49.234362,6.996379
Germany,Lower Saxony,Salzgitter,"101,100",DE,750,1511,1759,71,NI,52.1503721,10.3593147
Germany,North Rhine-Westphalia,Siegen,"102,400",DE,758,1450,2727,74,NW,50.8751175,8.0256131
Germany,North Rhine-Westphalia,Solingen,"158,700",DE,872,1691,4494,84,NW,51.1721629,7.0845893
Germany,Baden-Württemberg,Stuttgart,"623,700",DE,1276,2207,3556,93,BW,48.7784485,9.1800132
Germany,Rhineland-Palatinate,Trier,"114,900",DE,862,1725,2897,86,RP,49.7596208,6.6441878
Germany,Baden-Württemberg,Ulm,"122,636",DE,1027,1845,3839,88,BW,48.3984968,9.9912458
Germany,Hesse,Wiesbaden,"276,200",DE,1039,1922,3900,94,HE,50.0820384,8.2416556
Germany,Lower Saxony,Wolfsburg,"124,000",DE,653,1413,4398,77,NI,52.4205588,10.7861682
Germany,North Rhine-Westphalia,Wuppertal,"350,000",DE,653,1488,3021,81,NW,51.264018,7.1780374
Germany,Bavaria,Würzburg,"124,900",DE,688,1307,3422,74,BY,49.7780356,9.9434769
Italy,Apulia,Bari,"316,736",IT,799,1588,1851,81,AP,41.1257843,16.8620293
Italy,Lombardy,Bergamo,"119,809",IT,773,1547,2227,85,LO,45.7566557,9.7542192
Italy,Emilia-Romagna,Bologna,"389,200",IT,895,1727,2097,85,ER,44.4938203,11.3426327
Italy,Trentino-Alto Adige/Südtirol,Bolzano,"106,410",IT,841,1518,2006,62,TT,46.6559455,11.2302129
Italy,Lombardy,Brescia,"197,236",IT,883,1762,1983,82,LO,45.7795805,10.425873
Italy,Sardinia,Cagliari,"148,296",IT,761,1586,1821,77,SA,39.2171994,9.113311
Italy,Sicily,Catania,"299,730",IT,588,1298,1992,81,SI,37.5023612,15.0873718
Italy,Emilia-Romagna,Ferrara,"129,724",IT,647,1393,1680,81,ER,44.7667642,11.827939
Italy,Tuscany,Florence,"362,742",IT,964,1785,2001,85,TU,43.7697955,11.2556404
Italy,Apulia,Foggia,"146,017",IT,631,1334,1782,77,AP,41.5028106,15.4528939
Italy,Emilia-Romagna,Forlì,"116,726",IT,858,1614,2124,79,ER,44.2227278,12.041273
Italy,Liguria,Genoa,"561,191",IT,769,1620,2028,81,LI,44.40726,8.9338624
Italy,Campania,Giugliano in Campania,"124,222",IT,685,1389,1685,69,CM,40.9283217,14.2011232
Italy,Lazio,Latina,"127,719",IT,664,1345,1908,81,LZ,41.4595261,13.0125912
Italy,Tuscany,Livorno,"153,859",IT,736,1510,1634,84,TU,42.7902379,10.3402239
Italy,Sicily,Messina,"219,387",IT,532,1176,1820,78,SI,38.1937571,15.5542082
Italy,Lombardy,Milan,"1,358,420",IT,1295,2307,2386,88,LO,45.4641943,9.1896346
Italy,Emilia-Romagna,Modena,"184,836",IT,853,1700,1965,83,ER,44.5384728,10.9359609
Italy,Lombardy,Monza,"122,369",IT,917,1764,1991,85,LO,45.6395418,9.2788304
Italy,Campania,Naples,"917,510",IT,828,1605,1788,86,CM,40.8358846,14.2487679
Italy,Piedmont,Novara,"101,797",IT,578,1264,1955,85,PI,45.58425,8.545997
Italy,Veneto,Padua,"207,112",IT,951,1769,2020,83,VE,45.4077172,11.8734455
Italy,Sicily,Palermo,"632,499",IT,611,1301,1505,78,SI,38.1112268,13.3524434
Italy,Emilia-Romagna,Parma,"197,018",IT,787,1589,1922,79,ER,44.6952006,10.0979869
Italy,Umbria,Perugia,"162,367",IT,527,1215,1690,79,UM,43.1070321,12.4029962
Italy,Abruzzo,Pescara,"118,829",IT,513,1166,2031,64,AB,42.3102619,13.9575901
Italy,Emilia-Romagna,Piacenza,"102,728",IT,750,1582,2054,67,ER,44.8476352,9.6665313
Italy,Tuscany,Prato,"196,317",IT,793,1607,2042,71,TU,43.9357181,11.0941473
Italy,Emilia-Romagna,Ravenna,"156,050",IT,620,1384,1745,77,ER,44.3640607,12.0590095
Italy,Calabria,Reggio Calabria,"171,181",IT,498,1161,1223,75,CA,38.1035389,15.6397556
Italy,Emilia-Romagna,Reggio Emilia,"170,451",IT,656,1446,1979,81,ER,44.6086674,10.5940667
Italy,Emilia-Romagna,Rimini,"149,681",IT,777,1567,1917,76,ER,43.9465433,12.630749
Italy,Lazio,Rome,"2,755,309",IT,1128,2020,2219,89,LZ,41.8933203,12.4829321
Italy,Campania,Salerno,"127,485",IT,797,1518,1653,81,CM,40.4194417,15.3106085
Italy,Sardinia,Sassari,"121,409",IT,586,1269,1457,72,SA,40.7234746,8.5612674
Italy,Sicily,Syracuse,"116,635",IT,578,1232,1579,74,SI,37.0646139,15.2907196
Italy,Apulia,Taranto,"188,310",IT,603,1311,1580,76,AP,40.5488156,17.0805801
Italy,Umbria,Terni,"106,793",IT,451,1101,1625,79,UM,42.6539486,12.4396528
Italy,Trentino-Alto Adige/Südtirol,Trento,"118,277",IT,833,1612,2043,65,TT,46.1029536,11.1297425
Italy,Friuli-Venezia Giulia,Trieste,"199,032",IT,813,1600,1818,78,FG,45.6496485,13.7772781
Italy,Piedmont,Turin,"847,398",IT,762,1582,1975,85,PI,45.0677551,7.6824892
Italy,Veneto,Venice,"250,913",IT,869,1704,1781,82,VE,45.4371908,12.3345898
Italy,Veneto,Verona,"256,049",IT,845,1657,2105,84,VE,45.4424977,10.9857377
Italy,Veneto,Vicenza,"110,283",IT,804,1574,1926,81,VE,45.6348591,11.4063543
Greece,Attica,Athens,"643,452",GR,710,1436,1185,82,,37.9755648,23.7348324
Greece,Western Greece,Patras,"169,886",GR,531,1111,1057,71,,38.246242,21.7350847
Greece,Crete,Heraklion,"145,440",GR,613,1256,1108,74,,35.33908,25.1332843
Greece,Thessaly,Larissa,"146,377",GR,533,1149,1015,71,,39.6383092,22.4160706
Greece,Attica,Piraeus,"168,151",GR,539,1177,1106,66,,37.9431594,23.6470593
Greece,Thessaly,Volos,"139,670",GR,475,1101,968,56,,39.3624833,22.9401864
Greece,Attica,Peristeri,"133,630",GR,574,1192,796,64,,38.0128111,23.6955137
Greece,Central Macedonia,Thessaloniki,"309,617",GR,569,1225,1130,78,,40.6403167,22.9352716
Hungary,Central Hungary,Budapest,"1,671,004",HU,707,1377,1503,82,,47.4813896,19.1460941
Hungary,Northern Great Plain,Debrecen,"201,582",HU,563,1058,1067,68,,47.531399,21.6259782
Hungary,Western Transdanubia,Győr,"130,020",HU,404,861,1269,57,,47.6835029,17.6342832
Hungary,Southern Great Plain,Kecskemét,"109,731",HU,455,895,1062,70,,46.9073883,19.6917206
Hungary,Northern Hungary,Miskolc,"145,248",HU,432,913,1109,68,,48.1030643,20.7900429
Hungary,Northern Great Plain,Nyíregyháza,"115,711",HU,328,735,1450,56,,47.9557802,21.7167982
Hungary,Southern Transdanubia,Pécs,"141,031",HU,499,1033,858,66,,46.0765092,18.2280317
Hungary,Southern Great Plain,Szeged,"158,829",HU,432,934,1261,68,,46.2546312,20.1486016
Ireland,Dublin,Dublin,"592,713",IE,1880,2858,4105,96,,53.3493795,-6.2605593
Ireland,Cork,Cork,"131,423",IE,1584,2472,3327,88,,51.8985136,-8.4726423
Iceland,Capital,Reykjavík,"136,894",IS,2025,3268,4361,91,,64.145981,-21.9422367
Netherlands,Flevoland,Almere,"226,438",NL,1339,2230,3374,92,,52.4417513,5.2092943
Netherlands,North Holland,Amsterdam,"935,521",NL,2031,3118,4702,96,,52.3730796,4.8924534
Netherlands,Gelderland,Apeldoorn,"168,265",NL,1292,2154,3347,89,,52.1795738,5.9300775
Netherlands,Gelderland,Arnhem,"167,671",NL,1129,1986,4461,92,,52.0056642,5.8762345
Netherlands,North Brabant,Breda,"188,277",NL,1139,2087,4074,93,,51.5887845,4.7760237
Netherlands,South Holland,Delft,"109,452",NL,1383,2228,3576,91,,51.9994572,4.3627245
Netherlands,Overijssel,Deventer,"103,456",NL,1313,2107,2908,88,,52.2694896,6.2364886
Netherlands,Gelderland,Ede,"123,545",NL,1030,1860,2453,88,,52.0716825,5.7455106
Netherlands,North Brabant,Eindhoven,"246,581",NL,1327,2199,4013,94,,51.4392648,5.478633
Netherlands,Drenthe,Emmen,"109,311",NL,878,1704,2877,72,,52.7528662,6.9525135
Netherlands,Overijssel,Enschede,"161,947",NL,1246,2121,3472,87,,52.2233632,6.8705957
Netherlands,Groningen,Groningen,"244,003",NL,1071,1951,3120,85,,53.2190652,6.5680077
Netherlands,North Holland,Haarlem,"167,752",NL,1626,2589,3686,93,,52.3837058,4.6435597
Netherlands,South Holland,The Hague,"565,817",NL,1568,2581,4532,95,,52.0799838,4.3113461
Netherlands,Friesland,Leeuwarden,"128,845",NL,1129,1982,2800,70,,53.2005936,5.7918548
Netherlands,South Holland,Leiden,"130,269",NL,1397,2222,4593,95,,52.1518157,4.4811089
Netherlands,Limburg,Maastricht,"125,464",NL,1333,2181,3610,88,,50.8512438,5.6909768
Netherlands,Gelderland,Nijmegen,"186,798",NL,1240,2164,3188,90,,51.8425749,5.8389606
Netherlands,South Holland,Rotterdam,"671,221",NL,1599,2615,3894,94,,51.9244424,4.47775
Netherlands,North Brabant,Tilburg,"229,940",NL,1290,2238,3562,93,,51.5856184,5.0660616
Netherlands,Utrecht,Utrecht,"374,409",NL,1787,2718,4136,95,,52.0907006,5.1215634
Netherlands,Limburg,Venlo,"103,688",NL,1121,1942,3938,76,,51.3924489,6.1511724
Netherlands,Overijssel,Zwolle,"133,065",NL,1168,1992,3073,87,,52.5089759,6.0943765
Norway,Oslo,Oslo,"717,710",NO,1569,2721,3963,95,,59.9133301,10.7389701
Norway,Vestland,Bergen,"291,940",NO,1148,2242,3736,93,,60.3943055,5.3259192
Norway,Trøndelag,Trondheim,"214,565",NO,1241,2284,4097,88,,63.4304475,10.3952118
Norway,Rogaland,Stavanger,"149,048",NO,1356,2341,3990,87,,58.9699675,5.7318101
Norway,Østfold,Fredrikstad,"130,921",NO,1164,2181,3009,72,,59.1862013,10.8680241
Norway,Agder,Kristiansand,"116,986",NO,705,1497,3666,70,,58.0856276,7.931858
Norway,Buskerud,Drammen,"104,487",NO,890,1741,3317,77,,59.6964936,10.175642
Moldova, Transnistria,Tiraspol,"133,807",MD,186,546,264,41,,46.8566229,29.6059359
Lithuania,Vilnius,Vilnius,"592,156",LT,764,1414,1836,83,,54.6870458,25.2829111
Lithuania,Kaunas,Kaunas,"304,210",LT,667,1334,1428,78,,54.8982139,23.9044817
Lithuania,Šiauliai,Šiauliai,"110,463",LT,474,967,1325,72,,55.9340823,23.3157775
Latvia,Riga,Riga,"620,974",LV,619,1270,1509,82,,56.9493977,24.1051846
Luxembourg,Luxembourg,Luxembourg,"134,697",LU,1866,2776,5130,89,,49.8158683,6.1296751
Montenegro,Podgorica,Podgorica,"173,024",ME,539,1047,1100,69,,42.4415238,19.2621081
Spain,Castilla–La Mancha,Albacete,"173,206",ES,831,1464,1945,74,,38.9950921,-1.8559154
Spain,Community of Madrid,Alcalá de Henares,"199,184",ES,867,1573,1673,85,,40.481954,-3.363981
